AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,11,26,7.7,65.4,19.2,7.7
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,All Students,11,127,30.7,46.5,16.5,6.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,Historically Underperforming,11,34,17.6,35.3,29.4,17.6
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,All Students,11,126,39.7,35.7,16.7,7.9
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,Historically Underperforming,11,34,14.7,35.3,29.4,20.6
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,All Students,11,120,18.3,66.7,13.3,1.7
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,Historically Underperforming,11,32,12.5,50.0,31.3,6.3
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,312,28.8,46.2,20.5,4.5
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,11,108,13.0,36.1,39.8,11.1
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,308,39.6,37.7,16.6,6.2
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,11,105,21.0,31.4,29.5,18.1
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,11,312,12.2,69.9,14.7,3.2
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Historically Underperforming,11,108,5.6,57.4,27.8,9.3
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,All Students,11,342,27.8,46.8,19.0,6.4
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,Historically Underperforming,11,93,15.1,32.3,30.1,22.6
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,All Students,11,342,32.7,46.2,13.5,7.6
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,Historically Underperforming,11,93,14.0,37.6,23.7,24.7
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,All Students,11,341,11.7,74.2,10.3,3.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,Historically Underperforming,11,93,9.7,54.8,21.5,14.0
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,74,12.2,58.1,23.0,6.8
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,35,5.7,45.7,34.3,14.3
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,11,74,25.7,43.2,20.3,10.8
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Historically Underperforming,11,35,11.4,42.9,25.7,20.0
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,11,74,6.8,70.3,21.6,1.4
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Historically Underperforming,11,35,0.0,60.0,37.1,2.9
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,11,93,4.3,62.4,29.0,4.3
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,40,2.5,50.0,37.5,10.0
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,11,93,24.7,55.9,17.2,2.2
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,Historically Underperforming,11,40,10.0,60.0,25.0,5.0
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,All Students,11,93,9.7,75.3,11.8,3.2
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,Historically Underperforming,11,40,0.0,75.0,17.5,7.5
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,11,240,11.3,60.0,25.0,3.8
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,84,4.8,54.8,29.8,10.7
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,11,240,35.8,42.5,14.6,7.1
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,85,24.7,37.6,21.2,16.5
